vocab,kanji,meaning
わかります,分かります,hiểu, nắm được
あります,,có (sở hữu)
すき[な],好き[な],thích
きらい[な],嫌い[な],ghét, không thích
じょうず[な],上手[な],giỏi, khéo
へた[な],下手[な],kém
りょうり,料理,món ăn, việc nấu ăn
のみもの,飲み物,đồ uống
スポーツ,,thể thao (~をします: chơi thể thao)
やきゅう,野球,bóng chày (~をします: chơi bóng chày)
ダンス,,nhảy, khiêu vũ (~をします)
おんがく,音楽,âm nhạc
うた,歌,bài hát
クラシック,,nhạc cổ điển
ジャズ,,nhạc jazz
コンサート,,buổi hòa nhạc
カラオケ,,karaoke
かぶき,歌舞伎,Kabuki (một loại ca kịch truyền thống của Nhật)
え,絵,tranh, hội họa
じ,字,chữ
かんじ,漢字,chữ hán
ひらがな,,chữ Hiragana
かたかな,,chữ Katakana
ローマじ,ローマ字,chữ La Mã
こまかいおかね,細かいお金,tiền lẻ
チケット,,vé (xem hòa nhạc, xem phim)
じかん,時間,thời gian
ようじ,用事,việc bận, công chuyện
やくそく,約束,cuộc hẹn, lời hứa
ごしゅじん,ご主人,chồng (nói về chồng người khác)
おっと/しゅじん,夫/主人,chồng (nói về chồng mình)
おくさん,奥さん,vợ (nói về vợ người khác)
つま/かない,妻/家内,vợ (nói về vợ mình)
こども,子ども,con cái
よく,,tốt, rõ (chỉ mức độ)
だいたい,,đại khái, đại thể
たくさん,,nhiều
すこし,少し,ít, một ít
ぜんぜん,全然,hoàn toàn ~ không
はやく,早く、速く,sớm, nhanh
～から,,vì ~
どうして,,tại sao
ざんねんです[ね],残念です[ね],thật đáng tiếc nhỉ, buồn nhỉ
すみません,,xin lỗi
もしもし,,a-lô
ああ,,a (khi gặp đúng người trên điện thoại)
いっしょにいかがですか,,anh/chị cùng ~ với chúng tôi không?
[～は]ちょっと….,,[~ thì] có lẽ không được rồi (từ chối khéo)
だめですか。,,"không được à?"
またこんどおねがいします,,hẹn lần sau
