vocab,kanji,meaning
かぞえます,数えます,đếm
はかります,測ります/量ります,"đo, cân"
たしかめます,確かめます,xác nhận
あいます,合います,"vừa , hợp"
しゅっぱつします,出発します,"xuất phát, khởi hành"
とうちゃくします,到着します,"đến , đến nơi"
よいます,酔います,say
きけん（な）,危険（な）,nguy hiểm
ひつよう（な）,必要（な）,cần thiết
うちゅう,宇宙,vũ trụ
ちきゅう,地球,trái đất
ぼうねんかい,忘年会,tiệc tất niên
しんねんかい,新年会,tiệc tân niên
にじかい,二次会,"bữa tiệc thứ hai, tăng hai"
たいかい,大会,"đại hội , cuộc thi"
マラソン,,ma-ra-tong
コンテスト,,cuộc thi
おもて,表,"phía trước , mặt trước"
うら,裏,"phía sau , mặt sau"
へんじ,返事,"hồi âm , trả lời"
もうしこみ,申し込み,đăng ký
ほんとう,本当,thật
まちがい,,"sai , lỗi"
きず,傷,viết thương
ズボン,,cái quần
ながさ,長さ,chiều dài
おもさ,重さ,"cân nặng, trọng lượng"
たかさ,高さ,chiều cao
おおきさ,大きさ,"cỡ , kích thước"
―びん,ー便,chuyến bay–
―ごう,ー号,số–
―こ,,"cái, cục , viên"
―ほん,ー本,cái(đơn vị đếm vật dài)
―はい,,"–chén, –cốc"
―キロ,,"–ki-lo, –cân"
―グラム,,–gam
ーセンチ,,–xăng-ti-mét
ーミリ,,–mi-li-mét
―いじょう,ー以上,"trở lên, trên"
―いか,ー以下,"trở xuống, dưới"
さあ,,"à.., ồ..,(dùng khi không rõ về điều gì đó)"
どうでしょうか,,thế nào?(cách nói lịch sự của どうですか）
クラス,,lớp học
テスト,,bài kiểm tra
せいせき,成績,"kết quả, thành tích"
ところで,,nhân tiện
いらっしゃいます,,đến(kính ngữ của きます）
ようす,様子,"vẻ, tình hình"
じけん,事件,vụ án
ばくだん,爆弾,bom
つみます,積みます,"chuyển lên, xếp hàng lên"
うんてんしゅ,運転手,lái xe
はなれた,離れた,"xa cách, xa"
が,,nhưng
きゅうに,急に,"gấp, đột nhiên"
うごかします,動かします,"khởi động, chạy"
いっしょけんめい,一所懸命,"hết sức, chăm chỉ"
