vocab,kanji,meaning
はじまります「式が～」,始まります,bắt đầu (buổi lễ ~)
つづけます,続ける,tiếp tục
みつけます,見つめます,tìm thấy
うけます「しけんを」,受けます,thi (kì thi)
にゅうがくします「だいがくに」,入学します,nhập học
そつぎょうします「だいがくを」,卒業します,tốt nghiệp
きゅうけいします,休憩します,giải lao
れんきゅう,連休,ngày nghỉ liền nhau
さくぶん,作文,bài văn
てんらんかい,展覧会,triển lãm
けっこんしき,結婚式,lễ cưới, đám cưới
「お」そうしき,「お」葬式,lễ tang, đám tang
しき,式,buổi lễ
ほんしゃ,本社,trụ sở chính
してん,支店,chi nhánh
きょうかい,教会,nhà thờ
だいがくいん,大学院,cao học, cơ sở giáo dục trên đại học
どうぶつえん,動物園,sở thú
おんせん,温泉,suối nước nóng
おきゃく「さん」,お客「さん」,khách hàng
だれか,,ai đó
～のほう,～の　方,hướng~
ずっと,,suốt,liền
のこります,残ります,ở lại, còn
つきに,月に,(trong) một tháng
ふつうの,普通の,thường
インターネット,,internet
むら,村,làng
えいがかん,映画館,rạp chiếu phim
いや「な」,玄関,chán ghét, không chấp nhận được
そら,空,bầu trời
とじます,閉じます,nhắm
とかい,都会,thành phố
こどもたち,子供たち,bọn trẻ
じゆうに,自由に,tự do
せかいじゅう,世界中,khắp thể giới
あつまります,集まります,tập hợp
うつくしい,美しい,đẹp
しぜん,自然,thiên nhiên, tự nhiên
すばらしさ,,tuyệt vời
きがつきます,気が付きます,để ý,nhận ra
